название,фото,цена,краткая информация
ToyotaCorolla,https://im.mashina.kg/tachka/images//c/0/0/c00b06b2330007a7c17b748f0769a7ba_240x180.jpg,"$7000

593600сом","2007 г., 1.6 л., робот
седан, бензин
руль слева, 232 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//c/f/8/cf8783945070fbc8788674f442172f9e_240x180.jpg,"$5307

450000сом","2003 г., 2.4 л., механика
седан, бензин
руль слева, 263 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//e/0/6/e06f1475310d475814f2495f44853737_240x180.jpg,"$13000

1102400сом","2013 г., 2.5 л., автомат
седан, бензин
руль слева, 94 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/9/5/8956e5f30a1b66971a180f0de15aea2c_240x180.jpg,"$4717

400000сом","2003 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/7/3/f738c3a6af1acc77eb5afd14018037a3_240x180.jpg,"$10800

915840сом","2011 г., 2.5 л., автомат
седан, бензин
руль слева, 126 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/1/2/71219610889fc0639a432acf45584353_240x180.jpg,"$8499

720715сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа, 146 000 км
Ош
   "
ToyotaAltezza,https://im.mashina.kg/tachka/images//a/d/4/ad4995990012da14e871aaf6bc7b8a0a_240x180.jpg,"$5189

440000сом","2002 г., 2 л., автомат
седан, бензин
руль справа, 250 000 км
Ош
   "
ToyotaCamry(Japan),https://im.mashina.kg/tachka/images//1/2/7/1271a1c90faadcb57021a7402e276a62_240x180.jpg,"$8499

720715сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа, 147 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/2/0/f20b43ce7fd8764228559fc5064d5f05_240x180.jpg,"$10000

848000сом","2009 г., 2.5 л., автомат
седан, бензин
руль слева, 113 500 км
Ош
   "
ToyotaHiluxSurf,https://im.mashina.kg/tachka/images//6/6/b/66b07d08d06c23d42e9a69d146edc265_240x180.jpg,"$6300

534240сом","1998 г., 2.7 л., автомат
внедорожник 5 дв., бензин
руль слева, 200 000 км
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//f/4/8/f4825dda6172b67fd054718913d3a15c_240x180.jpg,"$5000

424000сом","2002 г., 2.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaAllion,https://im.mashina.kg/tachka/images//d/8/c/d8c1a7a9855d31939a20558d358ff3de_240x180.jpg,"$6600

559680сом","2002 г., 1.8 л., автомат
седан, бензин
руль справа, 250 101 км
Ош
   "
ToyotaCrown,https://im.mashina.kg/tachka/images//5/3/4/5345c15a202b59ec8b608491a7dfd0d1_240x180.jpg,"$9000

763200сом","2005 г., 3 л., автомат
седан, бензин
руль справа, 127 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//0/5/1/0511b9921b380489d4c0f6ab8b03cf11_240x180.jpg,"$5495

466000сом","2003 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaHarrier,https://im.mashina.kg/tachka/images//2/e/0/2e0f91a5137483c3b62b88cf6e657c16_240x180.jpg,"$14500

1229600сом","2006 г., 3.5 л., автомат
внедорожник 5 дв., бензин
руль справа, 145 000 км
Узген
"
ToyotaWindom,https://im.mashina.kg/tachka/images//8/c/c/8cc6f3997a8158ecb5b2ede1643dc589_240x180.jpg,"$7800

661440сом","2004 г., 3 л., автомат
седан, бензин
руль справа
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//2/6/b/26b181a9aa1654f99973a8a8fe0ba6e4_240x180.jpg,"$14500

1229600сом","2004 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//b/d/d/bddffe4295239dbe1cba600bfd0adc43_240x180.jpg,"$8800

746240сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//b/1/6/b1608eb7d0b5cf29056bb1546d25e758_240x180.jpg,"$4127

350000сом","2000 г., 1.8 л., механика
седан, бензин
руль слева, 400 000 км
Ош
   "
ToyotaCorollaSpacio,https://im.mashina.kg/tachka/images//8/c/f/8cf3863676c285dedef0944ef6f77518_240x180.jpg,"$4300

364640сом","1998 г., 1.8 л., автомат
минивэн, бензин
руль справа, 233 000 км
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//e/5/0/e50425d1882cc16384838cf3dd3c529e_240x180.jpg,"$25000

2120000сом","2010 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева, 132 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//b/e/a/beaf6bddadf0aa1c71eb251fc2d61901_240x180.jpg,"$16000

1356800сом","2008 г., 3 л., автомат
минивэн, бензин
руль слева
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//2/9/0/2904f9b97b9482319cbd99f0bd1615c0_240x180.jpg,"$6000

508800сом","2002 г., 1.8 л., механика
минивэн, бензин
руль слева, 150 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//6/8/b/68b034fe6fc984736956e5c84481fe40_240x180.jpg,"$4245

360000сом","2001 г., 1.8 л., механика
седан, бензин
руль слева, 248 102 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//9/c/b/9cb1620476ab45f1af22e14054d1436f_240x180.jpg,"$6500

551200сом","2004 г., 1.6 л., автомат
универсал, бензин
руль слева, 211 000 км
Узген
"
ToyotaCrown,https://im.mashina.kg/tachka/images//7/4/2/742f6954d915e126647dcf13d9f957d3_240x180.jpg,"$8500

720800сом","2004 г., 3 л., автомат
седан, бензин
руль справа
Узген
"
ToyotaAvensis,https://im.mashina.kg/tachka/images//d/6/7/d67603e9b3c36739cceced0c1ba7f2f8_240x180.jpg,"$3655

309944сом","2001 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//8/f/0/8f019a23dda424522a7818237319171a_240x180.jpg,"$6000

508800сом","2002 г., 1.8 л., механика
минивэн, бензин
руль слева, 350 000 км
Кара-К"
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/3/f/83fe639fa6224303dc8d686df0449e97_240x180.jpg,"$5896

500000сом","2004 г., 1.8 л., автомат
седан, бензин
руль слева, 200 000 км
Ош
   "
ToyotaYaris,https://im.mashina.kg/tachka/images//c/d/4/cd4c1bcafdfeb389db911525369f90b1_240x180.jpg,"$3125

265000сом","1999 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaWindom,https://im.mashina.kg/tachka/images//8/e/b/8eb4babcc7243e7d09906b1cdd28cae2_240x180.jpg,"$7500

636000сом","2002 г., 3 л., автомат
седан, бензин
руль слева, 250 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//a/2/a/a2aae5655847f24fd08e7f129632dfe0_240x180.jpg,"$5896

500000сом","2002 г., 2.4 л., механика
седан, бензин
руль слева, 134 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//6/3/1/6317f732f8ea05463eff68e7abc215e9_240x180.jpg,"$3100

262880сом","1999 г., 1.6 л., механика
седан, бензин
руль слева, 321 000 км
Ноокат"
ToyotaIpsum,https://im.mashina.kg/tachka/images//f/3/7/f37cc1ee6aef3b1659ca62560420965f_240x180.jpg,"$3361

285000сом","1997 г., 2 л., автомат
минивэн, бензин
руль справа, 320 000 км
Ош
   "
ToyotaCamry(Japan),https://im.mashina.kg/tachka/images//8/f/7/8f7eed2f8157d06e854df4e5403e8da0_240x180.jpg,"$7075

600000сом","2002 г., 2.4 л., автомат
седан, бензин
руль справа, 285 227 км
Узген
"
Toyota4Runner,https://im.mashina.kg/tachka/images//f/c/f/fcf75368d3c17a27606c09ac2a6153ff_240x180.jpg,"$22000

1865600сом","2008 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaAuris,https://im.mashina.kg/tachka/images//d/2/5/d250fbbf86f8b6a7e25f9082fdd16fc2_240x180.jpg,"$7200

610560сом","2008 г., 1.4 л., механика
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//2/e/e/2eed0ce09beb823b27b3de907a5db05e_240x180.jpg,"$16500

1399200сом","2015 г., 2.5 л., вариатор
седан, гибрид
руль слева, 122 000 км
Ош
   "
ToyotaRAV4,https://im.mashina.kg/tachka/images//5/4/b/54bee0341ed0bbee3e2a7afa8a165e8d_240x180.jpg,"$21800

1848640сом","2014 г., 2.5 л., автомат
внедорожник 5 дв., бензин
руль слева, 85 193 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//c/2/7/c275111fdaa5439a8bc3c44827ac4310_240x180.jpg,"$3538

300000сом","2000 г., 1.6 л., механика
универсал, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//b/f/1/bf15c456374bf7b957da33a2ae6a1b4a_240x180.jpg,"$8500

720800сом","2004 г., 3 л., автомат
седан, бензин
руль слева, 280 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//e/5/8/e589b6f891132749693b873203b97f6d_240x180.jpg,"$8300

703840сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева, 290 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//8/d/4/8d408363211ee23d54eea09161e56bc4_240x180.jpg,"$9500

805600сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//5/1/a/51a26ab84a3cf6c170f68c8c7eea0ee0_240x180.jpg,"$8500

720800сом","2004 г., 3 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//e/6/7/e67fb02a93f642c5677d4207f11b1f69_240x180.jpg,"$7000

593600сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//1/a/b/1ab0d7f46b1af89c8b08c19b1f51c6de_240x180.jpg,"$6800

576640сом","2004 г., 2 л., вариатор
минивэн, бензин
руль справа, 220 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//4/0/3/403a76ff2579c616f113bcc31b9e1674_240x180.jpg,"$1769

150000сом","1992 г., 1.6 л., автомат
седан, бензин
руль справа, 250 121 км
Кара-С"
ToyotaIpsum,https://im.mashina.kg/tachka/images//d/8/6/d8612e96e22e7d11b2447aee4a1ea189_240x180.jpg,"$4500

381600сом","1997 г., 2 л., автомат
минивэн, бензин
руль справа, 235 000 км
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//2/6/9/2699745281c27013e4e53e34d9406784_240x180.jpg,"$7901

670000сом","2001 г., 3 л., автомат
минивэн, бензин
руль справа, 227 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//c/5/4/c5496fb56d01c054b954328cc12166f4_240x180.jpg,"$9900

839520сом","2009 г., 2.5 л., автомат
седан, бензин
руль слева, 150 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//f/0/3/f03ebbe773686a101df51b699966d80d_240x180.jpg,"$5531

469000сом","2006 г., 1.6 л., робот
седан, бензин
руль слева, 199 999 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/9/a/49a1e5b2a0d5f6348f862ea32fd139c6_240x180.jpg,"$7500

636000сом","2002 г., 2.4 л., автомат
седан, бензин
руль справа, 263 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//6/9/d/69dc30cc5172ae24f76509b36b6d5651_240x180.jpg,"$7900

669920сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева, 274 000 км
Ош
   "
ToyotaProgres,https://im.mashina.kg/tachka/images//e/e/e/eee1400aded04cbc89ce9d8ebff3da46_240x180.jpg,"$3892

330000сом","2002 г., 2.5 л., автомат
седан, бензин
руль справа, 250 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/8/8/7887cddf4075c8ffbbcbe954b135c01a_240x180.jpg,"$16200

1373760сом","2016 г., 2.5 л., автомат
седан, бензин
руль слева, 99 000 км
Ноокат"
ToyotaCorolla,https://im.mashina.kg/tachka/images//5/9/5/595be0d2277e1a65be059aae6e197053_240x180.jpg,"$10200

864960сом","2015 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//0/8/9/0890375febbdceb7f35a6847bb9c77c9_240x180.jpg,"$6486

550000сом","2003 г., 2 л., автомат
седан, бензин
руль слева, 191 000 км
Ош
   "
ToyotaVoxy,https://im.mashina.kg/tachka/images//5/1/1/5118497473bf2fd41cecb5f35fa6437e_240x180.jpg,"$7500

636000сом","2007 г., 2 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaAvensisVerso,https://im.mashina.kg/tachka/images//4/0/7/4071c9d58e13214348e4e3b8d3692b7d_240x180.jpg,"$6200

525760сом","2003 г., 2 л., автомат
минивэн, бензин
руль слева, 300 000 км
Ош
   "
ToyotaYaris,https://im.mashina.kg/tachka/images//c/5/2/c52a782e21dad6cd57bf9e8bf1be5627_240x180.jpg,"$6486

550000сом","2008 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева, 170 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//3/7/d/37dcaee8a929e661584c05304a8ceea1_240x180.jpg,"$8000

678400сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева, 166 397 км
Ноокат"
ToyotaAvalon,https://im.mashina.kg/tachka/images//f/a/b/fab4dc84dcb789cadaa1b98f8c4d5f14_240x180.jpg,"$17500

1484000сом","2015 г., 2.5 л., вариатор
седан, гибрид
руль слева, 75 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/9/e/79e0fc61d7654cb62b22041596356070_240x180.jpg,"$14500

1229600сом","2016 г., 2.5 л., вариатор
седан, гибрид
руль слева, 81 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//3/b/6/3b62ae5a89504a6ac2338bb2a5ffb309_240x180.jpg,"$9000

763200сом","2013 г., 1.6 л., механика
седан, бензин
руль слева, 150 000 км
Ноокат"
ToyotaEstima,https://im.mashina.kg/tachka/images//7/7/0/770248391e3f0ba9816de89a1ccea74a_240x180.jpg,"$5307

450000сом","2001 г., 2.4 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//8/2/0/820b23327b158ebefa04311206c59645_240x180.jpg,"$14500

1229600сом","2016 г., 2.5 л., автомат
седан, бензин
руль слева, 70 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/6/6/46626c31de2c2c943581509765fa1579_240x180.jpg,"$9200

780160сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева, 210 121 км
Ош
   "
