название,цена,фото
"Mercedes-Benz G-Класс W463 [2-й рестайлинг] AMG 6x6 пикап 4-дв. , 2013",75000$,https://i.cars.kg/preview/r/aFWkcs7leWQj5DDqxUOszQ/1080x-/20210924/8e749b42098c7fa02b73d62b5a5ab736.jpg
"Mercedes-Benz G-Класс W463 [2-й рестайлинг] Внедорожник 5-дв. , 2011",44100$,https://i.cars.kg/preview/r/M_ozjk21YugVOVXZir78DQ/1080x-/20210924/fa0a939552f9fc6f16b64ef121b803fd.jpg
"Mercedes-Benz , 2001",10500$,https://i.cars.kg/preview/r/Ehy5zP5bTvbeaIzd-QxkSQ/1080x-/20210924/5ef466675069bd82a4f5e360b4cc260d.jpg
"Mercedes-Benz , 2003",10500$,https://i.cars.kg/preview/r/fY94OZrmwOVDJLpoTYkq6w/1080x-/20210924/fc2afc336813fd00419585358edcb48d.jpg
"Mercedes-Benz S-Класс X110 Blit универсал , 2003",7200$,https://i.cars.kg/preview/r/RA7fKNlP9fj0gn3fRpYtqA/1080x-/20210924/90dc64a2172c91dfdacaed749e55b2da.jpg
"Mercedes-Benz S-Класс W220 [рестайлинг] , 2003",9300$,https://i.cars.kg/preview/r/kzuDQT4xJvzvZqe1C8hfTA/1080x-/20210924/c206c0b06b09ab450271b8f02d7b8021.jpg
"Mercedes-Benz E-Класс W211/S211 [рестайлинг] Седан 4-дв. , 2006",7300$,https://i.cars.kg/preview/r/am3-ZFmx-wAm8LRFvjzhXw/1080x-/20210923/45e448d11c626138d76be7bc512cd28a.jpeg
"Mercedes-Benz E-Класс W124 Седан 4-дв. , 1990",3500$,https://i.cars.kg/preview/r/OFa5qb_NswTsCbRFjfW9IA/1080x-/20210923/54d5df018a87c01c9eaf270efef78710.jpg
"Mercedes-Benz S-Класс W221 Седан , 2009",14800$,https://i.cars.kg/preview/r/eVfHxWTrkH65MJuxuydIbg/1080x-/20210923/075381dd315877e4fa5632b934525afc.jpg
"Mercedes-Benz S-Класс W222 / C217 AMG седан 4-дв. , 2019",110000$,https://i.cars.kg/preview/r/oImTtqDnRqKOeiewF6LJHg/1080x-/20210923/be4bf7d27d5a94836af5a940aa2aa8a5.jpg
"Mercedes-Benz E-Класс W212/S212/C207/A207 AMG седан 4-дв. , 2009",26100$,https://i.cars.kg/preview/r/O1U3R0xWx4ddbH5PAgV4lQ/1080x-/20210923/0c79b74f4597fe798851f4403f3362e6.jpg
"Mercedes-Benz , 2021",300$,https://i.cars.kg/preview/r/ALKI2OvUeLWWkW71AYFqHA/1080x-/20210922/7d88902670c18306526741553e39497a.jpg
"Mercedes-Benz S-Класс , 2007",9500$,https://i.cars.kg/preview/r/3pRmc4fiZwBzmhGMUaZSSQ/1080x-/20210922/0b2f6bf1b15b55ef5fb78e8a3549d32b.jpg
"Mercedes-Benz E-Класс W212/S212/C207/A207 Седан 4-дв. , 2010",15100$,https://i.cars.kg/preview/r/IDiRXDXZa2aT-a-U25KJsg/1080x-/20210922/c8de411f95901eac766b042133d6dcf3.jpg
"Mercedes-Benz GL-Класс X164 Внедорожник , 2007",12000$,https://i.cars.kg/preview/r/WBBXJVMhAOVtnDE1WvAVSg/1080x-/20210922/114a453ffaaf3bc90838bf987819d015.jpg
"Mercedes-Benz Viano W639 [рестайлинг] Микроавтобус 4-дв. , 2011",21900$,https://i.cars.kg/preview/r/KZHASfIp8iAO26HLkyB3OA/1080x-/20210922/40fbac28ba4b8b331ac11811eee9ae5a.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2001",5000$,https://i.cars.kg/preview/r/5TnIWgpT7_3H6-VPOVXDrw/1080x-/20210922/87a88e075fdbc4c464544bbbce95ebaa.jpg
"Mercedes-Benz Sprinter W906 Фургон , 2002",7800$,https://i.cars.kg/preview/r/9oBaDwMoO8AGilh3erCX6w/1080x-/20210921/8388489beccda1532a85171abe6def31.jpg
"Mercedes-Benz S-Класс W221 [рестайлинг] AMG седан 4-дв. , 2011",18500$,https://i.cars.kg/preview/r/GuQR_BMWGLAymfyR0YRX5Q/1080x-/20210921/faf9fe3daf41e265ebeb3f16127afe2b.jpg
"Mercedes-Benz GL-Класс X166 Внедорожник 5-дв. , 2012",33250$,https://i.cars.kg/preview/r/juGAgZsUkJgFkefNXWbyGQ/1080x-/20210921/4e8e4347b6d54e187107b9683701bb53.jpg
"Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1994",4000$,https://i.cars.kg/preview/r/lboojUZOgBC9ROlkWW_9Jg/1080x-/20210920/70f0f9ed15217de0d98e007f2f044fad.jpg
"Mercedes-Benz M-Класс W163 Кроссовер , 2000",7700$,https://i.cars.kg/preview/r/4MpEQ88zaIWn_uEB585-Uw/1080x-/20210920/2930379d5823142b1bf6d86a131d8a66.jpg
"Mercedes-Benz S-Класс W222 / C217 , 2014",41300$,https://i.cars.kg/preview/r/qNrzdhW1B_aOo9U0jrDlkQ/1080x-/20210920/07ba139c388a2c485a160d2cb0b30ca3.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2004",8000$,https://stmartinblue.com/images/cars/default_car.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",6500$,https://i.cars.kg/preview/r/8pJtLXJNBYaHQQkrDOn84w/1080x-/20210919/1936efe91aa74dfbab7ab29345e49b30.jpg
"Mercedes-Benz Sprinter , 1996",6485$,https://i.cars.kg/preview/r/se7PFeRY3ztxr68vC8vGHQ/1080x-/20210919/16cd016060ce46f8ec75eb8d5cb776d1.jpg
"Mercedes-Benz GLE-Класс , 2021",118500$,https://i.cars.kg/preview/r/SYMdnzjWCBWglsbE9yYGDg/1080x-/20210918/3ab39352109df38d3d42f965d8061bd8.jpg
"Mercedes-Benz C-Класс W203/S203/CL203 Универсал 5-дв. , 2002",5999$,https://i.cars.kg/preview/r/Ao_x5knIrvr_J2rD2SbGwA/1080x-/20210918/6f7b57c8b1f0da26ac6cd55fe0f9f2ee.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2001",7200$,https://i.cars.kg/preview/r/0iZZ9yuoi3JYxtzuHO8fqQ/1080x-/20210917/8dd2be046d7f3ab7b0ae62bdbe79e9a5.jpg
"Mercedes-Benz E-Класс W124 Универсал , 1987",1886$,https://i.cars.kg/preview/r/3WnzhZTaWOyE3GA9iCy9RA/1080x-/20210917/67302f1f624b84f59617b8fe37d8ff19.jpg
"Mercedes-Benz S-Класс W220 Седан , 2000",5200$,https://i.cars.kg/preview/r/T0CMKP4P1NIVHYmsHxmwZg/1080x-/20210917/6462f900aed154a30b6dfb8230c9fa23.jpg
"Mercedes-Benz E-Класс W212/S212/C207/A207 [рестайлинг] Седан 4-дв. , 2014",24900$,https://i.cars.kg/preview/r/I9nGtWaMBuXXcBW60SQPEA/1080x-/20210917/1603a31a9ff6976fa5e8506e21a2aaf1.jpg
"Mercedes-Benz CLS-Класс C218/X218 [рестайлинг] Седан 4-дв. , 2017",56600$,https://i.cars.kg/preview/r/IqT_JkicKibeH1q2VxMYnQ/1080x-/20210917/64a8eecb4dd2a87d2d0d60ae325793a6.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2013",18000$,https://i.cars.kg/preview/r/xto8xgChltmVAA8_j03YFA/1080x-/20210916/9259aace682e9b91283eaf5f348b2690.jpg
"Mercedes-Benz M-Класс W163 Кроссовер , 2001",4700$,https://i.cars.kg/preview/r/5UZi95iNaM7NQ0VV_LuXsg/1080x-/20210916/f77e61eb77e13e84548e08f91c26b842.jpg
"Mercedes-Benz GLA-Класс , 2017",35000$,https://i.cars.kg/preview/r/-FRdHcVaw0qPCIJcUCoW-g/1080x-/20210914/ba9b0e314f75946ea0191cffc81476e8.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",7500$,https://i.cars.kg/preview/r/c4kT6MUsG6Cuwk7ceUftJA/1080x-/20210913/cacca515465f9912bdd4b54564f25fa3.jpg
"Mercedes-Benz E-Класс W211/S211 [рестайлинг] Седан 4-дв. , 2007",9000$,https://i.cars.kg/preview/r/dppTPOU1wQMWu0-MoDN-dQ/1080x-/20210913/4f51945fcf66fc6bf5824d7843007895.jpeg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000",6400$,https://i.cars.kg/preview/r/stBvFcDFr2kRXqnDPfrbvw/1080x-/20210913/5445269a8f5b49f1785189be97c51682.jpeg
"Mercedes-Benz GLE-Класс , 2021",86500$,https://i.cars.kg/preview/r/3b08kXZ-mOriAxHElsPdPw/1080x-/20210913/7a98ee5f2f56676fdfd7bc1dbabc5e88.jpg
"Mercedes-Benz Sprinter , 2011",13000$,https://i.cars.kg/preview/r/j0gv3ZYsTJSfBVI9inB-Aw/1080x-/20210911/8f65b144df488a2f861004336a2b6492.jpg
"Mercedes-Benz S-Класс W221 Седан , 2006",10800$,https://i.cars.kg/preview/r/4W3ovBgaP9-7_P2lXsT09A/1080x-/20210911/7a6816708f1a00144a6fa5d6bd0e17d2.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",7000$,https://i.cars.kg/preview/r/qqAysTHOptO0yhh4cTiiHA/1080x-/20210910/7d0b9229233587b415581d80a83e9d2b.jpg
"Mercedes-Benz S-Класс W222 / C217 AMG седан 4-дв. , 2016",80000$,https://i.cars.kg/preview/r/Gqs3NlOodlHBPek3uzTdpg/1080x-/20210910/13be789fb1cad8c7ff413ebe67c8d6f8.jpg
"Mercedes-Benz Sprinter W906 Борт 2-дв. , 2001",10850$,https://i.cars.kg/preview/r/aZ0U1gnvIZIxNXOaw101xA/1080x-/20210910/ae5946ab966c611f3fef970304e40a92.jpg
"Mercedes-Benz S-Класс W140/C140 [рестайлинг] Седан , 1995",4000$,https://i.cars.kg/preview/r/C9w1vkKY61F1JNG_8xdrhg/1080x-/20210910/e067ae465d16640ad94ee7aff538fdd3.jpg
"Mercedes-Benz C-Класс W202/S202 Седан , 1995",3000$,https://i.cars.kg/preview/r/USFGqetFm_NnnKrECZQoqg/1080x-/20210909/e791de36f8797d9648e5f2c05548e8de.jpg
"Mercedes-Benz s450, 2018",79900$,https://i.cars.kg/preview/r/8UpUI7oVWuEiiLm_KqssGQ/1080x-/20210909/baf1d4a7b11a18f002d6bfbbe1359f57.jpg
"Mercedes-Benz G-Класс W463 [рестайлинг] Внедорожник 5-дв. , 2005",28500$,https://i.cars.kg/preview/r/UCcr4Cqb7zM7i7BKffjPJA/1080x-/20210908/b417990363f424bceac024ce9e0b448d.jpg
"Mercedes-Benz Sprinter , 2006",11500$,https://i.cars.kg/preview/r/XILi132FvIpUnioI1QzWpw/1080x-/20210908/00f40cc0d2755bc7d9fcf1913dafec3b.jpg
"Mercedes-Benz C-Класс W202/S202 Седан , 1995",4000$,https://i.cars.kg/preview/r/c926w6WSVcx8y8VgjMIcyA/1080x-/20210908/104ff21c70c15200b676b93788fd79f2.jpg
"Mercedes-Benz S-Класс A217 , 2017",98000$,https://i.cars.kg/preview/r/oSyEXmKEVCldVZo7SHafPg/1080x-/20210907/f8f858b91b606df64de465773b247a66.jpg
"Mercedes-Benz , 1994",3400$,https://i.cars.kg/preview/r/ky_XyMeJsl-GYiz38by6Dw/1080x-/20210907/8737ed0c158e6703fb2e01a848524c73.jpg
"Mercedes-Benz е300, 2018",40000$,https://i.cars.kg/preview/r/sq1esc70Uay2KibF8EtY9Q/1080x-/20210906/9bfe2be3f093f34b0c81a2df3463eddd.jpg
"Mercedes-Benz G-Класс W463 [2-й рестайлинг] Внедорожник 5-дв. , 2013",54800$,https://i.cars.kg/preview/r/ldGnENjGrgSt11Y_icUGSg/1080x-/20210906/7bef6596de65fc0976db2fe7fcfd1ce3.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",6000$,https://i.cars.kg/preview/r/VX5HRjZoJp_79iyU4KJvDQ/1080x-/20210903/4d57bdb6caf040c1a3d2dd998cbe529d.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000",9500$,https://i.cars.kg/preview/r/N1Gmzvw5q1ZUrcV6mKFtVQ/1080x-/20210902/e85d9b793abc431b386b198747a95119.jpg
"Mercedes-Benz Sprinter W906 Фургон , 2009",8500$,https://i.cars.kg/preview/r/aO4wkBSynrO19CwBC0vFoQ/1080x-/20210901/faed2c74cdf67114512ebcd11f7c0229.jpeg
"Mercedes-Benz S-Класс W220 , 2002",4500$,https://i.cars.kg/preview/r/unqn_K3J-5HWtYq64lN71Q/1080x-/20210831/1819537b7d2f7a7337cbb7091ce644c1.jpg
"Mercedes-Benz S-Класс W221 Седан , 2008",13990$,https://i.cars.kg/preview/r/8JlEa_WKBCA1noHccy4v2w/1080x-/20210831/846b23913807c1a24cb221fce1f11714.jpg
"Mercedes-Benz E-Класс W124 [рестайлинг] Универсал , 1993",2500$,https://i.cars.kg/preview/r/bbGfz-e6yKH53u_0kuakew/1080x-/20210830/62578561d6606c06090279b044d30010.jpg
"Mercedes-Benz S-Класс W221 [рестайлинг] Седан 4-дв. , 2012",18500$,https://stmartinblue.com/images/cars/default_car.jpg
"Mercedes-Benz S-Класс W221 Седан , 2006",10500$,https://stmartinblue.com/images/cars/default_car.jpg
"Mercedes-Benz S-Класс W221 Седан , 2006",10000$,https://stmartinblue.com/images/cars/default_car.jpg
"Mercedes-Benz E-Класс , 2003",5500$,https://i.cars.kg/preview/r/bLy9EW_cCrheVHz1_lO1Uw/1080x-/20210827/99f4ee463e419ae46efb5aec92820fc2.jpg
"Mercedes-Benz S-Класс , 2001",8900$,https://i.cars.kg/preview/r/k7cXhBq6NxWx_W1Tckk44Q/1080x-/20210826/f7bdf5ae107036a73ccf3f5934e24e7d.jpg
"Mercedes-Benz S-Класс W140 [2-й рестайлинг] Седан , 1998",5700$,https://i.cars.kg/preview/r/YCE-2FNX9UnmeHPyBR_pDA/1080x-/20210825/c468b166cc398300f3620fae2b0fa416.jpg
"Mercedes-Benz A-Класс W168 Хетчбэк , 1999",2700$,https://i.cars.kg/preview/r/CyYqSMVk6rSEGAPV9dsYOA/1080x-/20210821/bef870e89f1a5da422c7c961172dead7.jpg
"Mercedes-Benz 124, 1995",6500$,https://i.cars.kg/preview/r/19qJ60mn6FbcHKNCpjjC_Q/1080x-/20210820/dc07975685c967586298f47dc9d4dfb1.jpg
"Mercedes-Benz G-Класс W463 [3-й рестайлинг] Внедорожник , 2021",260000$,https://i.cars.kg/preview/r/oAM6I5KWDXKNKJVs6QrsVg/1080x-/20210820/a713b7f26550acf3225a67ddf2a9c045.jpg
"Mercedes-Benz E-Класс W124 [рестайлинг] Универсал , 1993",4500$,https://i.cars.kg/preview/r/S57VibN4m7bsa1P5BEHUxw/1080x-/20210819/97046fa45c6fb3280b960a6c55818490.jpg
"Mercedes-Benz W124, 1990",230000$,https://i.cars.kg/preview/r/efV2f2oJkYz6MVoP_Pm_QQ/1080x-/20210819/9881bc68f6109f2e7562fde88fb2bf6f.jpg
"Mercedes-Benz GL-Класс C216 , 2009",15000$,https://i.cars.kg/preview/r/xzDTDI9E086s18wdWH1-vA/1080x-/20210817/72f6ff488eca658df6fd1f4706ed7c67.jpg
"Mercedes-Benz M-Класс W164 [рестайлинг] Кроссовер , 2011",13500$,https://i.cars.kg/preview/r/17s-p_9oxWPhgwgx0gQXew/1080x-/20210816/f5d624d33aa917e28e9824baeef5e607.jpg
"Mercedes-Benz S-Класс W221 [рестайлинг] Седан 4-дв. , 2012",17500$,https://i.cars.kg/preview/r/4HwphBelmEMuzhfT4FQV5A/1080x-/20210815/104b2a73bb7d2ee84c6d282fd61363f7.jpg
"Mercedes-Benz E-Класс W213 AMG седан 4-дв. , 2016",30000$,https://i.cars.kg/preview/r/R_IvHCgbuz_MlSx174h9RQ/1080x-/20210815/d3a35424cd3d80e9797d5a08b9a38fe5.jpg
"Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003",5100$,https://i.cars.kg/preview/r/cugWGOeMgjmOJ0-blNLmGg/1080x-/20210813/e71b793f2e8a54bf9683635d0870a6ad.jpg
"Mercedes-Benz S-Класс W222 / C217 Седан 4-дв. , 2019",83900$,https://i.cars.kg/preview/r/aw3kqyis_f5P4Mu4_Jn7mA/1080x-/20210812/5f95b49c15e4e5cf29dcd716f02c0b03.jpg
"Mercedes-Benz Sprinter , 2004",8500$,https://i.cars.kg/preview/r/VpRrjnpFEjaqMhHj5blb1A/1080x-/20210812/59a70c9d856195eb38f636a2848b901d.jpg
"Mercedes-Benz S-Класс W221 AMG седан 4-дв. , 2006",10999$,https://i.cars.kg/preview/r/GBx2OXxU-rxlnmAH4f8ZCg/1080x-/20210812/27b4b54afbdc02738e0f956554ea7d68.png
"Mercedes-Benz S-Класс W221 Седан , 2007",11000$,https://i.cars.kg/preview/r/D7tLwHGlewef2IivDhoETg/1080x-/20210811/f7af6dd4597e5dc4f4a6c1e414723841.jpg
"Mercedes-Benz CL-Класс C216 , 2007",14000$,https://i.cars.kg/preview/r/0AIiiUrcxijfrCpkm8Y6Uw/1080x-/20210811/ef111defc734bdcbbc3a7c5b172631e5.jpg
"Mercedes-Benz Sprinter , 1999",11000$,https://i.cars.kg/preview/r/f75TbmFLyYI0Cszfz9_LdQ/1080x-/20210810/5ae15e006d931614d21435744fcbc8a9.jpg
"Mercedes-Benz C-Класс W203/S203/CL203 Седан 4-дв. , 2004",6000$,https://i.cars.kg/preview/r/KIpYre4N04_ll0uiaMFQuQ/1080x-/20210809/bfec5ea5b836c421c00b69dacf4316c7.jpg
"Mercedes-Benz , 2001",4700$,https://stmartinblue.com/images/cars/default_car.jpg
"Mercedes-Benz G-Класс W463 [3-й рестайлинг] AMG внедорожник 5-дв. , 2019",210000$,https://i.cars.kg/preview/r/bwEn_jN25LcgzYTwuB4HOA/1080x-/20210805/b8d57800043567ae7fbca894a772b44b.jpg
"Mercedes-Benz M-Класс W164 Кроссовер , 2005",8600$,https://i.cars.kg/preview/r/_teC0FpPgJmreObBA8EeUw/1080x-/20210804/4584636e92f5daf1d984abb2ab1e43d2.jpg
"Mercedes-Benz M-Класс W163 [рестайлинг] , 2004",7500$,https://i.cars.kg/preview/r/I1z8GytUK204zE_KlSJXcQ/1080x-/20210803/a546f0e134f6a0cd47480b85187d41e6.jpg
"Mercedes-Benz S-Класс W140/C140 Седан , 1992",5500$,https://i.cars.kg/preview/r/x_pAdbIau7EnJ4ICSyou6g/1080x-/20210802/98d0be46347ecc1f83a9289af4a39c4d.jpg
"Mercedes-Benz C-Класс W202/S202 [рестайлинг] Седан , 2001",4500$,https://i.cars.kg/preview/r/ajnuHJeFlpEmobfho3o1cA/1080x-/20210802/15daaaa3e6b9672943993ef193571396.jpg
"Mercedes-Benz Vito W639 Mixto микроавтобус 4-дв. , 2002",5600$,https://i.cars.kg/preview/r/yLPJUSWaW0BtL6Q8eJ5-rQ/1080x-/20210731/882844e52a2534b788fe98624aec2441.jpeg
"Mercedes-Benz Sprinter , 1998",5000$,https://i.cars.kg/preview/r/B_gSeoifVIkcb4_zjEb3Zg/1080x-/20210731/f012b949b2e175a01ba35a87d38cd3b0.jpg
"Mercedes-Benz , 2000",7500$,https://i.cars.kg/preview/r/Cc5Yl04fdlCdPXATaYBTSA/1080x-/20210730/c806da4dfbda22c44ce59c8f6d162a6c.jpg
"Mercedes-Benz Sprinter W906 [рестайлинг] Борт 2-дв. , 2013",26000$,https://i.cars.kg/preview/r/pJ1bIundXX6zLkSC5qpWIw/1080x-/20210729/760efe1c73d295b19c0574de0d4ac035.jpeg
"Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003",6900$,https://i.cars.kg/preview/r/0DM_oJkOgcT-X0EbgCNPJQ/1080x-/20210729/00b4254d1388abb93833b6d590d75578.jpg
"Mercedes-Benz GL-Класс X166 AMG внедорожник 5-дв. , 2014",35000$,https://i.cars.kg/preview/r/pJHDfesMPqPDnywL_wafVQ/1080x-/20210727/2f7a1e6b91b9f54037d8355e2dcf6cf2.jpg
"Mercedes-Benz S-Класс W220 , 2002",4500$,https://i.cars.kg/preview/r/JDSTSvgYAuwia-26S1XC5g/1080x-/20210726/89374d840e0c2cef8dfa382ed8670a17.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",8200$,https://i.cars.kg/preview/r/eI3RGbTQsGtQ06Ts-_SjIg/1080x-/20210726/fac04e7893ea6adf86135319925749ca.jpg
"Mercedes-Benz S-Класс W222 / C217 AMG седан 4-дв. , 2014",60000$,https://i.cars.kg/preview/r/JRdjffaezmEuvcGA87mqww/1080x-/20210724/4c131e35f92ea5c768dd570c007e26d7.png
"Mercedes-Benz  124 кузов , 1990",1827$,https://i.cars.kg/preview/r/gHbBopbfRQJVRmjjVnrYzg/1080x-/20210724/d7659d967d1f5d9f942d6fc6f95f821f.jpg
"Mercedes-Benz Sprinter , 2000",13500$,https://i.cars.kg/preview/r/JPl-JZftqSA1kvBWm5a0-w/1080x-/20210723/2fc2ae760ceda8bb8c4215f07c7281ae.jpg
"Mercedes-Benz Sprinter W906 Фургон , 2007",15500$,https://i.cars.kg/preview/r/eCYlaS_BSXdkvu4zkDx3OQ/1080x-/20210723/c578e7526e5b5a804bef6b190527beea.jpg
"Mercedes-Benz Sprinter , 2004",9400$,https://i.cars.kg/preview/r/Y2usUtWIj9hOozM5dHyxIQ/1080x-/20210723/0889b949ee9541ea82e105bcf3ed5019.jpg
"Mercedes-Benz S-Класс W140 [2-й рестайлинг] Седан , 1996",6900$,https://i.cars.kg/preview/r/xNIOr4150oocJ8PWtp3_Xw/1080x-/20210722/21ba02740080d9bfe8aa76ff22b37ae1.jpeg
"Mercedes-Benz S-Класс W220 Седан , 2000",4300$,https://i.cars.kg/preview/r/M3ManqcZZ08xZNmQGifF6A/1080x-/20210722/c330ab1cf51415fd014b02ba5b1ff6c7.jpeg
"Mercedes-Benz Sprinter , 2001",11500$,https://i.cars.kg/preview/r/LIsZQxOI7qAx_OSgY-PPnQ/1080x-/20210720/473933c8168bb2ab452d3cc47059e759.jpeg
"Mercedes-Benz E-Класс W211/S211 Седан , 2002",7900$,https://i.cars.kg/preview/r/F8QCarM_gBQ1qLR9WlGO5A/1080x-/20210717/e1c3ab3c830fafa4f5a4883476147961.jpg
"Mercedes-Benz S-Класс W140 [2-й рестайлинг] , 1996",6500$,https://i.cars.kg/preview/r/s7Y1YozB69sESB-EDddvVQ/1080x-/20210716/5779f6b939a3d9e7c4ba73442cd6ecae.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000",7200$,https://i.cars.kg/preview/r/2Aova88QARmPFnWTbGJz1A/1080x-/20210716/d2bfd3bfd4799b1d326bcfaf38c70df0.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000",7200$,https://i.cars.kg/preview/r/2Aova88QARmPFnWTbGJz1A/1080x-/20210716/d2bfd3bfd4799b1d326bcfaf38c70df0.jpg
